Codigo,Nombre
17442,DIRECCION MUNICIPAL DE SALUD DE MARMATO
17444,DIRECCION MUNICIPAL DE SALUD DE MARQUETALIA
17446,DIRECCION MUNICIPAL DE SALUD DE MARULANDA
17486,DIRECCION MUNICIPAL DE SALUD DE NEIRA
17495,DIRECCION MUNICIPAL DE SALUD DE NORCASIA
17513,DIRECCION MUNICIPAL DE SALUD DE PACORA
17524,DIRECCION MUNICIPAL DE SALUD DE PALESTINA
17541,DIRECCION MUNICIPAL DE SALUD DE PENSILVANIA
17614,DIRECCION MUNICIPAL DE SALUD DE RIOSUCIO
17616,DIRECCION MUNICIPAL DE SALUD DE RISARALDA
17653,DIRECCION MUNICIPAL DE SALUD DE SALAMINA
17662,DIRECCION MUNICIPAL DE SALUD DE SAMANA
17665,DIRECCION MUNICIPAL DE SALUD DE SAN JOSE
17777,DIRECCION MUNICIPAL DE SALUD DE SUPIA
17867,DIRECCION MUNICIPAL DE SALUD DE VICTORIA
17873,DIRECCION MUNICIPAL DE SALUD DE VILLAMARIA
17877,DIRECCION MUNICIPAL DE SALUD DE VITERBO
18000,DIRECCION DEPARTAMENTAL DE CAQUETA
